,Length(km),Width(km),Depth(km),Strike(deg),Dip(deg),Rake(deg),Slip(m),Lat(deg),Lon(deg),number
56,5.0,5.0,2.4773124421198793,295.108,14.467,-104.642,0.569,37.941736554552385,26.634861794485545,57
57,5.0,5.0,2.4773124421198793,266.376,23.219,-130.2,0.546,37.94161855420519,26.577960749009378,58
58,5.0,5.0,2.4773124421198793,264.253,19.686,-129.141,0.497,37.94146955376677,26.52107069158646,59
59,5.0,5.0,2.4773124421198793,345.464,25.478,-20.782,0.286,37.941286553228316,26.46417062106091,60
60,5.0,5.0,2.4773124421198793,344.515,82.629,-27.81,0.223,37.941076552610404,26.40727954013074,61
61,5.0,5.0,2.4773124421198793,175.651,75.211,35.919,0.253,37.94084755193659,26.35037945187928,62
62,5.0,5.0,2.4773124421198793,178.509,69.627,43.618,0.134,37.940588551174514,26.293491352067704,63
63,5.0,5.0,2.4773124421198793,99.913,8.966,-3.997,0.273,37.904608445322346,27.431096498819297,64
64,5.0,5.0,2.4773124421198793,70.254,3.936,-19.306,0.333,37.90486744608421,27.37423659845271,65
65,5.0,5.0,2.4773124421198793,96.005,19.317,-13.796,0.325,37.90510844679314,27.31736669116295,66
66,5.0,5.0,2.4773124421198793,215.462,73.828,-125.277,0.288,37.905310447387315,27.26049776887114,67
67,5.0,5.0,2.4773124421198793,204.547,70.166,-135.184,0.262,37.90548944791387,27.203637837732018,68
68,5.0,5.0,2.4773124421198793,241.988,45.419,-87.396,0.274,37.905638448352164,27.146766895052433,69
69,5.0,5.0,2.4773124421198793,225.49,53.709,-117.789,0.338,37.905767448731616,27.089896944679175,70
70,5.0,5.0,2.4773124421198793,233.425,57.286,-129.686,0.434,37.90585944900226,27.033027980072088,71
71,5.0,5.0,2.4773124421198793,250.391,48.943,-127.346,0.633,37.90592844920522,26.976168006616877,72
72,5.0,5.0,2.4773124421198793,262.139,41.255,-120.256,0.908,37.90597044932878,26.919296022774617,73
73,5.0,5.0,2.4773124421198793,278.203,36.686,-101.687,0.984,37.90598944938465,26.86242703008408,74
74,5.0,5.0,2.4773124421198793,289.648,33.868,-91.023,0.941,37.90597044932878,26.805557022774618,75
75,5.0,5.0,2.4773124421198793,295.235,24.878,-100.559,0.801,37.90592844920522,26.748688006616877,76
76,5.0,5.0,2.4773124421198793,294.096,19.349,-106.813,0.805,37.90585944900226,26.691827980072087,77
77,5.0,5.0,2.4773124421198793,271.235,23.949,-126.844,0.861,37.905767448731616,26.634955944679174,78
78,5.0,5.0,2.4773124421198793,261.042,31.371,-127.829,0.904,37.905638448352164,26.578086895052433,79
79,5.0,5.0,2.4773124421198793,259.899,29.202,-124.531,0.717,37.90548944791387,26.521216837732016,80
80,5.0,5.0,2.4773124421198793,264.752,28.347,-114.097,0.477,37.905310447387315,26.464356768871138,81
81,5.0,5.0,2.4773124421198793,309.971,47.892,-44.352,0.389,37.90510844679314,26.40748769116295,82
82,5.0,5.0,2.4773124421198793,343.69,80.262,-23.834,0.209,37.90486744608421,26.350615598452713,83
83,5.0,5.0,2.4773124421198793,184.255,77.877,42.594,0.139,37.904608445322346,26.293755498819298,84
84,5.0,5.0,2.4773124421198793,224.963,69.374,-124.168,0.271,37.86863933953302,27.43081167452105,85
85,5.0,5.0,2.4773124421198793,240.351,53.593,-136.026,0.405,37.86889834029468,27.3739727739767,86
86,5.0,5.0,2.4773124421198793,238.371,55.705,-128.164,0.485,37.86912734096809,27.317131861913456,87
87,5.0,5.0,2.4773124421198793,240.761,56.793,-121.74,0.551,37.86933734158563,27.260292942555026,88
88,5.0,5.0,2.4773124421198793,236.594,53.377,-118.983,0.503,37.86951634211202,27.20345201129303,89
89,5.0,5.0,2.4773124421198793,244.409,48.08,-99.574,0.537,37.869669342561956,27.146613070047223,90
90,5.0,5.0,2.4773124421198793,246.211,43.485,-97.745,0.536,37.86978734290896,27.08977211536122,91
91,5.0,5.0,2.4773124421198793,245.181,44.321,-119.932,0.708,37.86988634320011,27.0329331533791,92
92,5.0,5.0,2.4773124421198793,254.543,42.835,-120.135,0.983,37.86995934341476,26.976093181412608,93
93,5.0,5.0,2.4773124421198793,261.9,41.433,-118.087,1.241,37.8699973435265,26.919254196005436,94
94,5.0,5.0,2.4773124421198793,269.451,38.896,-111.677,1.347,37.87000834355886,26.86241320022968,95
95,5.0,5.0,2.4773124421198793,276.76,36.036,-105.443,1.283,37.8699973435265,26.805574196005434,96
